filename,width,height,class,xmin,ymin,xmax,ymax,score
aug_3_3_0_1702.jpg,388,284,person,236.0,184.0,282.0,237.0,0.9778662919998168
aug_3_4_0_8167.jpg,388,284,person,221.0,128.0,266.0,177.0,0.8959490656852722
aug_3_2_0_6597.jpg,388,284,person,229.0,121.0,286.0,212.0,0.9968153834342957
aug_3_0_5924.jpg,388,284,person,172.0,158.0,218.0,249.0,0.9772262573242188
aug_3_4_0_7062.jpg,388,284,person,37.0,120.0,96.0,159.0,0.7518395185470581
aug_3_2_0_7515.jpg,388,284,person,44.0,138.0,84.0,194.0,0.9163820147514344
aug_3_3_0_1902.jpg,388,284,person,114.0,127.0,162.0,175.0,0.9974031448364258
aug_3_2_0_2458.jpg,388,284,person,170.0,125.0,202.0,200.0,0.8055253028869629
100380.jpg,388,284,person,105.0,155.0,150.0,205.0,0.9894208908081056
aug_3_3_0_3766.jpg,388,284,person,132.0,140.0,171.0,180.0,0.65831059217453
401164.jpg,388,284,person,94.0,138.0,175.0,208.0,0.9675658941268921
aug_3_2_0_660.jpg,388,284,person,229.0,200.0,288.0,249.0,0.8774296045303345
aug_3_0_4634.jpg,388,284,person,87.0,77.0,154.0,154.0,0.9872431755065918
400990.jpg,388,284,person,96.0,151.0,149.0,217.0,0.6325125098228455
aug_3_0_4149.jpg,388,284,person,135.0,132.0,200.0,176.0,0.9648728966712952
aug_3_0_8671.jpg,388,284,person,139.0,60.0,179.0,117.0,0.6904507279396057
300514.jpg,388,284,person,80.0,138.0,142.0,211.0,0.9906131029129028
aug_3_4_0_3400.jpg,388,284,person,90.0,93.0,132.0,184.0,0.8463762998580933
aug_3_4_0_557.jpg,388,284,person,69.0,173.0,118.0,244.0,0.9466793537139891
aug_3_3_0_7648.jpg,388,284,person,284.0,128.0,325.0,192.0,0.909711480140686
200248.jpg,388,284,person,68.0,154.0,158.0,234.0,0.8991162776947021
400995.jpg,388,284,person,99.0,144.0,157.0,218.0,0.7230351567268372
aug_3_3_0_5131.jpg,388,284,person,119.0,151.0,204.0,229.0,0.7959731817245483
aug_3_3_0_5131.jpg,388,284,person,148.0,157.0,200.0,210.0,0.6573237180709839
100442.jpg,388,284,person,95.0,155.0,131.0,209.0,0.9518884420394896
aug_3_2_0_5314.jpg,388,284,person,256.0,182.0,329.0,237.0,0.8862581253051758
aug_3_2_0_1682.jpg,388,284,person,178.0,168.0,243.0,258.0,0.9961937665939332
300322.jpg,388,284,person,116.0,147.0,163.0,185.0,0.92002272605896
aug_3_0_5105.jpg,388,284,person,15.0,177.0,78.0,237.0,0.987635612487793
aug_3_4_0_7918.jpg,388,284,person,133.0,106.0,182.0,164.0,0.8851521015167236
aug_3_0_3860.jpg,388,284,person,52.0,100.0,83.0,144.0,0.7384141683578491
400438.jpg,388,284,person,104.0,148.0,154.0,228.0,0.9589092135429382
aug_3_2_0_592.jpg,388,284,person,216.0,112.0,277.0,196.0,0.9070090055465698
aug_3_2_0_5376.jpg,388,284,person,160.0,107.0,199.0,168.0,0.9262548685073853
400920.jpg,388,284,person,97.0,149.0,144.0,201.0,0.8304232358932495
aug_3_3_0_8787.jpg,388,284,person,238.0,91.0,276.0,147.0,0.9561041593551636
aug_3_4_0_8770.jpg,388,284,person,119.0,153.0,168.0,210.0,0.9879608750343324
300439.jpg,388,284,person,78.0,141.0,143.0,212.0,0.9588914513587952
aug_3_2_0_8450.jpg,388,284,person,235.0,175.0,306.0,264.0,0.9725460410118104
200514.jpg,388,284,person,96.0,165.0,146.0,243.0,0.989630401134491
200653.jpg,388,284,person,93.0,160.0,140.0,207.0,0.8517239093780518
300650.jpg,388,284,person,83.0,161.0,120.0,230.0,0.9209871292114258
aug_3_4_0_3478.jpg,388,284,person,95.0,185.0,139.0,240.0,0.9577914476394652
400423.jpg,388,284,person,103.0,149.0,156.0,228.0,0.9723349809646606
aug_3_3_0_3037.jpg,388,284,person,50.0,139.0,117.0,225.0,0.8430969119071959
200525.jpg,388,284,person,104.0,159.0,144.0,222.0,0.9635656476020812
aug_3_2_0_1604.jpg,388,284,person,205.0,165.0,258.0,248.0,0.8305830359458923
aug_3_2_0_2949.jpg,388,284,person,209.0,171.0,272.0,252.0,0.9981766939163208
aug_3_4_0_5476.jpg,388,284,person,103.0,198.0,176.0,242.0,0.8301975727081299
aug_3_4_0_5476.jpg,388,284,person,94.0,185.0,180.0,261.0,0.6789912581443787
aug_3_3_0_5697.jpg,388,284,person,130.0,133.0,187.0,229.0,0.8076741695404053
aug_3_0_8475.jpg,388,284,person,136.0,179.0,199.0,266.0,0.784673273563385
aug_3_0_3030.jpg,388,284,person,271.0,125.0,334.0,180.0,0.9837288856506348
aug_3_3_0_4835.jpg,388,284,person,208.0,74.0,278.0,154.0,0.9792441725730896
200386.jpg,388,284,person,81.0,176.0,131.0,219.0,0.729487419128418
400493.jpg,388,284,person,81.0,135.0,151.0,226.0,0.9857178330421448
400117.jpg,388,284,person,109.0,135.0,166.0,234.0,0.9818305373191832
aug_3_4_0_2513.jpg,388,284,person,91.0,192.0,173.0,273.0,0.9438396096229552
aug_3_4_0_7197.jpg,388,284,person,36.0,134.0,89.0,224.0,0.9864193797111512
aug_3_4_0_1074.jpg,388,284,person,219.0,196.0,273.0,252.0,0.9914578199386596
aug_3_0_5083.jpg,388,284,person,111.0,106.0,141.0,157.0,0.8120438456535339
400197.jpg,388,284,person,70.0,151.0,129.0,210.0,0.9679142832756042
400197.jpg,388,284,person,102.0,150.0,153.0,208.0,0.740531325340271
aug_3_4_0_2586.jpg,388,284,person,155.0,181.0,218.0,264.0,0.9744983315467834
300668.jpg,388,284,person,86.0,165.0,119.0,229.0,0.8975536227226257
aug_3_2_0_6767.jpg,388,284,person,86.0,144.0,126.0,204.0,0.8353812098503113
aug_3_3_0_493.jpg,388,284,person,35.0,186.0,73.0,239.0,0.9482508301734924
400194.jpg,388,284,person,63.0,141.0,151.0,212.0,0.9688192009925842
aug_3_2_0_3543.jpg,388,284,person,95.0,119.0,180.0,206.0,0.9846630692481996
100260.jpg,388,284,person,85.0,156.0,160.0,198.0,0.9050467014312744
300288.jpg,388,284,person,112.0,138.0,158.0,186.0,0.903074026107788
aug_3_4_0_3729.jpg,388,284,person,265.0,139.0,309.0,220.0,0.929515779018402
100446.jpg,388,284,person,100.0,151.0,158.0,209.0,0.8741882443428041
100446.jpg,388,284,person,97.0,152.0,129.0,209.0,0.7060580849647522
aug_3_0_609.jpg,388,284,person,94.0,173.0,138.0,267.0,0.8049035072326659
200661.jpg,388,284,person,87.0,160.0,139.0,208.0,0.8002952933311462
400965.jpg,388,284,person,98.0,141.0,160.0,223.0,0.8627596497535706
aug_3_0_572.jpg,388,284,person,281.0,135.0,319.0,187.0,0.7124890685081482
401055.jpg,388,284,person,102.0,148.0,162.0,200.0,0.9787520170211792
300743.jpg,388,284,person,95.0,153.0,137.0,193.0,0.6809163689613342
aug_3_3_0_8137.jpg,388,284,person,62.0,72.0,102.0,133.0,0.931317925453186
aug_3_4_0_8336.jpg,388,284,person,135.0,159.0,185.0,219.0,0.857309103012085
aug_3_2_0_3632.jpg,388,284,person,30.0,101.0,95.0,159.0,0.9147254824638368
aug_3_4_0_2595.jpg,388,284,person,57.0,97.0,145.0,191.0,0.9720817804336548
aug_3_2_0_4491.jpg,388,284,person,85.0,119.0,132.0,167.0,0.6611685156822205
aug_3_4_0_2238.jpg,388,284,person,162.0,164.0,217.0,247.0,0.7755024433135986
aug_3_2_0_2521.jpg,388,284,person,124.0,111.0,162.0,211.0,0.6243778467178345
aug_3_4_0_5372.jpg,388,284,person,172.0,174.0,223.0,250.0,0.9308722615242004
